26	98	1
23	97	1
84	29	1
95	88	1
63	44	0
69	17	1
86	19	1
92	100	1
9	60	0
48	61	1
84	42	1
24	85	0
71	49	1
72	47	1
100	51	1
3	15	0
72	65	1
76	3	1
19	90	1
6	57	0
19	29	0
90	25	1
30	36	0
52	98	1
94	48	1
87	25	1
77	84	1
66	86	1
11	34	0
25	93	1
65	12	0
5	61	0
27	73	1
31	71	1
32	73	1
33	13	0
38	35	1
67	5	0
69	73	1
12	45	0
84	92	1
93	97	1
54	37	0
17	76	1
58	2	0
25	67	0
27	18	0
3	8	0
60	52	1
43	59	1
90	78	1
90	41	1
52	73	1
78	84	1
60	76	1
54	70	1
19	14	0
21	72	1
98	98	1
97	97	1
84	100	1
7	75	1
91	84	1
5	23	0
31	44	1
14	46	0
33	78	1
71	20	1
73	20	1
38	41	0
21	93	1
78	64	1
48	36	0
60	84	1
47	37	0
74	13	1
76	74	1
92	27	1
61	65	0
40	7	0
76	14	1
99	30	1
65	89	1
45	77	1
28	17	0
88	10	1
89	1	1
31	56	0
57	41	0
30	44	0
40	64	1
26	41	0
51	36	1
55	74	1
74	47	1
58	10	0
62	87	1
22	18	0
81	20	1
61	45	1
